account_type,currency,user_uuid,bank_uuid,nickname,interest_rate,status,open_date,balance
Checking,EUR,b5bca3e1-9bd5-49ec-b129-50033f134620,32914ac7-a1ff-4f9b-b318-836a4f01aed5,expect,0.07,Active,2023-06-30 20:23:25,42972
Saving,USD,b2ab4b30-7eb8-496a-abe3-508ee603a106,20ab2c5c-c776-4db9-9596-0a5c651d0b09,huge,0.09,Active,2023-10-06 13:51:09,88095
Saving,GBP,82705623-6088-45d1-9574-50a53e5f4850,639cad89-9448-4c05-b396-704e4685885f,who,0.02,Inactive,2023-12-15 09:57:43,41184
Checking,USD,fd418d82-2325-48a6-8fec-4ede842791e2,e883e00d-1210-48fb-b25f-9602392cd4b0,paper,0.07,Active,2024-02-11 08:25:28,95999
Checking,EUR,cd55d59f-bbee-4514-a478-110668256f45,ff1065d7-6548-4e1e-a1a2-da14440b7469,include,0.08,Active,2023-12-12 22:47:00,62989
Checking,GBP,8825720e-3660-4b50-9592-11eb653c2a6b,ff1065d7-6548-4e1e-a1a2-da14440b7469,before,0.02,Active,2023-11-29 19:33:30,37661
Checking,USD,96dc0f5a-1e09-438a-89a1-9155827d69fa,6f40a3e5-67eb-4516-84b5-580c591e4c84,team,0.06,Active,2024-04-08 04:10:01,1829
Checking,GBP,9689707b-0db7-4859-9d70-2a01243c324a,eb136d46-0d1e-4ba7-a306-7de1d99aa2fc,anything,0.07,Active,2023-06-20 16:46:45,57253
Saving,USD,20ced87a-8820-4201-9de8-6d40efe7b7ae,42895d93-ff7b-4e69-812b-8bea493184a9,its,0.03,Inactive,2023-08-11 17:16:29,41700
Checking,USD,0aa7284c-8fb0-4a7c-9fee-d49e35d9174e,c2ebfa6d-04b5-479c-b778-f5241c761b2f,up,0.04,Active,2023-08-05 09:25:41,32628
Checking,GBP,a81de218-f945-4fbb-8a35-c9b48340f5c8,c98eb443-0a39-476c-b59b-8aa06732e3c9,one,0.04,Active,2024-04-16 01:09:40,32267
Checking,GBP,9c9ac565-878f-42f3-969c-38a01431da06,85630045-2376-40af-b573-a238ab5239f8,must,0.08,Active,2023-11-05 12:52:34,37681
Checking,EUR,61ecfd62-050e-4c99-b826-4de60c1a3340,150f753c-fc5a-4017-85f0-9bdeb6eebb22,protect,0.07,Active,2023-12-21 11:01:02,90734
Saving,GBP,45096560-ab6c-4a56-a023-6f88dcc04c66,86eeabc2-f250-4fe9-91bf-3da6a5818c19,up,0.07,Active,2023-11-17 08:31:47,98321
Checking,EUR,d84f06b4-2904-4808-b4f7-ce55068516bf,53604252-da97-4254-9ef2-fa9fc293c634,any,0.06,Active,2023-08-10 06:04:47,10088
Checking,GBP,473317a5-0e53-4a59-b708-3779f5447541,85785025-6b4c-4f73-9f3a-9a07dbe4b229,energy,0.09,Inactive,2024-03-24 07:00:27,26341
Saving,EUR,ea0d200e-05d1-4825-a67f-017de10f6a9b,de1da2cd-cbeb-4338-a33d-672f7c44967d,information,0.02,Inactive,2023-06-07 19:11:12,17167
Checking,EUR,8420abbd-1752-426e-9229-7d8f071484c3,0527553d-ebe5-4422-aca1-83bd08ec87a1,about,0.03,Active,2024-02-11 08:42:53,51798
Saving,EUR,749efd1f-4e2f-48c4-a8ca-81d2b6071c32,e5fb0bbe-ce53-49db-b37c-3e54c3068d4d,management,0.1,Active,2023-10-26 02:16:13,51036
Checking,EUR,da4790a4-ee39-49bd-a75b-80a6d7d44797,5eec1a34-36a0-42a9-9c6b-6efe347bccd9,culture,0.06,Inactive,2023-09-13 20:37:56,76256
Checking,GBP,03b2d9d5-9e7a-4969-a03a-63b66045b901,b09547e1-210e-4e28-ac77-e424e5e9faf8,cultural,0.07,Inactive,2023-09-07 18:30:17,99922
Saving,GBP,41672c91-b4ed-4426-995b-ec0423c03347,04de1093-5e5c-4ece-a41a-a01e4a330f6b,serious,0.09,Active,2023-09-24 01:01:51,26044
Checking,EUR,daf13440-a94d-40fb-820b-134a9b7ae340,30b7b059-8691-4aa8-b351-0f971b75d7d8,imagine,0.05,Active,2023-08-23 17:07:38,34935
Checking,GBP,e31d8715-0419-43e3-b8f5-addd2d085bf6,ff1065d7-6548-4e1e-a1a2-da14440b7469,meet,0.06,Active,2023-05-16 15:40:50,52822
Saving,USD,9824d7ce-7caf-4b0e-8b28-c1a70d82a339,1535b5e9-768a-445b-b5d4-dc1e4d0d37ec,senior,0.04,Active,2023-07-23 03:36:27,45523
Checking,USD,d3c495fc-12ea-4375-bb26-888b405c0d8c,f24ce5ce-6ef5-42b9-914b-1ba7da6e4f4c,market,0.07,Inactive,2023-08-15 16:50:00,31126
Checking,USD,14bfc58e-17ea-4698-a398-800ae3cb852a,668f8a38-ecce-4b6b-9c0e-2d570dc6b8fc,personal,0.09,Inactive,2023-12-03 04:42:48,40190
Checking,USD,7ac39fa0-91dd-454e-8efc-9735ada754f5,21d1fef6-9ee9-4d4c-969d-7d19538f693b,join,0.02,Inactive,2023-09-05 16:17:30,87390
Saving,GBP,c354953d-f311-4bf3-817c-a2fa576efcf1,53604252-da97-4254-9ef2-fa9fc293c634,hit,0.01,Active,2023-05-14 08:08:50,90918
Saving,GBP,192b4029-cf63-4f33-b261-1ee7acc31dcf,ff1065d7-6548-4e1e-a1a2-da14440b7469,across,0.1,Active,2023-05-09 20:24:24,38318
Saving,GBP,a4c7e284-c61d-4e38-8c67-74aa421dc6a1,0d57b811-2bf0-4b5a-80e4-fc016a07b324,experience,0.1,Active,2024-03-29 00:06:35,53335
